beta	temperature	nsites	canonical_n	target_density	mu_grand_canonical	avg_n_grand_canonical	kappa_grand_canonical	kappa_canonical
68.000000	0.014705882353	797	399	0.500627352572	0.000851840892	399.000000000000	7.360963559639e-01	0.000000000000e+00
69.000000	0.014492753623	797	399	0.500627352572	0.000840892240	399.000000000000	7.456780972033e-01	0.000000000000e+00
70.000000	0.014285714286	797	399	0.500627352572	0.000830203691	399.000000000000	7.552760152689e-01	0.000000000000e+00
71.000000	0.014084507042	797	399	0.500627352572	0.000819766591	399.000000000000	7.648896779701e-01	0.000000000000e+00
72.000000	0.013888888889	797	399	0.500627352572	0.000809572636	399.000000000000	7.745186787602e-01	0.000000000000e+00
73.000000	0.013698630137	797	399	0.500627352572	0.000799613855	399.000000000000	7.841626346457e-01	0.000000000000e+00
74.000000	0.013513513514	797	399	0.500627352572	0.000789882597	399.000000000000	7.938211842366e-01	0.000000000000e+00
75.000000	0.013333333333	797	399	0.500627352572	0.000780371517	399.000000000000	8.034939859309e-01	0.000000000000e+00
76.000000	0.013157894737	797	399	0.500627352572	0.000771073562	399.000000000000	8.131807162265e-01	0.000000000000e+00
77.000000	0.012987012987	797	399	0.500627352572	0.000761981961	399.000000000000	8.228810681571e-01	0.000000000000e+00
78.000000	0.012820512821	797	399	0.500627352572	0.000753090209	399.000000000000	8.325947498437e-01	0.000000000000e+00
79.000000	0.012658227848	797	399	0.500627352572	0.000744392059	399.000000000000	8.423214831566e-01	0.000000000000e+00
80.000000	0.012500000000	797	399	0.500627352572	0.000735881508	399.000000000000	8.520610024835e-01	0.000000000000e+00
81.000000	0.012345679012	797	399	0.500627352572	0.000727552788	399.000000000000	8.618130535951e-01	0.000000000000e+00
82.000000	0.012195121951	797	399	0.500627352572	0.000719400354	399.000000000000	8.715773926051e-01	0.000000000000e+00
83.000000	0.012048192771	797	399	0.500627352572	0.000711418876	399.000000000000	8.813537850179e-01	0.000000000000e+00
84.000000	0.011904761905	797	399	0.500627352572	0.000703603230	399.000000000000	8.911420048582e-01	0.000000000000e+00
85.000000	0.011764705882	797	399	0.500627352572	0.000695948484	399.000000000000	9.009418338784e-01	0.000000000000e+00
86.000000	0.011627906977	797	399	0.500627352572	0.000688449897	399.000000000000	9.107530608371e-01	0.000000000000e+00
87.000000	0.011494252874	797	399	0.500627352572	0.000681102904	399.000000000000	9.205754808461e-01	0.000000000000e+00
88.000000	0.011363636364	797	399	0.500627352572	0.000673903113	399.000000000000	9.304088947782e-01	0.000000000000e+00
89.000000	0.011235955056	797	399	0.500627352572	0.000666846295	399.000000000000	9.402531087344e-01	0.000000000000e+00
90.000000	0.011111111111	797	399	0.500627352572	0.000659928376	399.000000000000	9.501079335635e-01	0.000000000000e+00
91.000000	0.010989010989	797	399	0.500627352572	0.000653145433	399.000000000000	9.599731844320e-01	0.000000000000e+00
92.000000	0.010869565217	797	399	0.500627352572	0.000646493686	399.000000000000	9.698486804396e-01	0.000000000000e+00
93.000000	0.010752688172	797	399	0.500627352572	0.000639969491	399.000000000000	9.797342442759e-01	0.000000000000e+00
94.000000	0.010638297872	797	399	0.500627352572	0.000633569335	399.000000000000	9.896297019162e-01	0.000000000000e+00
95.000000	0.010526315789	797	399	0.500627352572	0.000627289832	399.000000000000	9.995348823529e-01	0.000000000000e+00
96.000000	0.010416666667	797	399	0.500627352572	0.000621127713	399.000000000000	1.009449617358e+00	0.000000000000e+00
97.000000	0.010309278351	797	399	0.500627352572	0.000615079825	399.000000000000	1.019373741275e+00	0.000000000000e+00
98.000000	0.010204081633	797	399	0.500627352572	0.000609143128	399.000000000000	1.029307090840e+00	0.000000000000e+00
99.000000	0.010101010101	797	399	0.500627352572	0.000603314682	399.000000000000	1.039249505022e+00	0.000000000000e+00
100.000000	0.010000000000	797	399	0.500627352572	0.000597591651	399.000000000000	1.049200824889e+00	0.000000000000e+00
