idx	U_label	U	Ntot_target	target_density	beta	T	mu_L8_reference	L8_reference_Ntot	L8_reference_density	mu_probe	mu_label	probe_offset	probe_role	Lx	Ly	dtau	ntherm	nmeasurements	nbins	nupdates	account	out_parent	sid	seed	target_key	tuning_status	source_manifests	job_tag
30	Um5	-5.0	18	0.500000000000	2.0	0.500000000000	-0.784441768957	32	0.500000000000	-0.804441768957	m0p804442	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p0_mum0p804442_minus_0p02	916000030	1907193030	Um5_L6_N018_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p0minus_0p02
31	Um5	-5.0	18	0.500000000000	2.0	0.500000000000	-0.784441768957	32	0.500000000000	-0.784441768957	m0p784442	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p0_mum0p784442_center	916000031	1907193031	Um5_L6_N018_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p0center
32	Um5	-5.0	18	0.500000000000	2.0	0.500000000000	-0.784441768957	32	0.500000000000	-0.764441768957	m0p764442	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p0_mum0p764442_plus_0p02	916000032	1907193032	Um5_L6_N018_b2p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p0plus_0p02
33	Um5	-5.0	18	0.500000000000	2.2	0.454545454545	-0.764002194788	32	0.500000000000	-0.784002194788	m0p784002	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p2_mum0p784002_minus_0p02	916000033	1907193033	Um5_L6_N018_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p2minus_0p02
34	Um5	-5.0	18	0.500000000000	2.2	0.454545454545	-0.764002194788	32	0.500000000000	-0.764002194788	m0p764002	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p2_mum0p764002_center	916000034	1907193034	Um5_L6_N018_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p2center
35	Um5	-5.0	18	0.500000000000	2.2	0.454545454545	-0.764002194788	32	0.500000000000	-0.744002194788	m0p744002	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p2_mum0p744002_plus_0p02	916000035	1907193035	Um5_L6_N018_b2p2	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p2plus_0p02
36	Um5	-5.0	18	0.500000000000	2.5	0.400000000000	-0.741092014715	32	0.500000000000	-0.761092014715	m0p761092	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p5_mum0p761092_minus_0p02	916000036	1907193036	Um5_L6_N018_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p5minus_0p02
37	Um5	-5.0	18	0.500000000000	2.5	0.400000000000	-0.741092014715	32	0.500000000000	-0.741092014715	m0p741092	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p5_mum0p741092_center	916000037	1907193037	Um5_L6_N018_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p5center
38	Um5	-5.0	18	0.500000000000	2.5	0.400000000000	-0.741092014715	32	0.500000000000	-0.721092014715	m0p721092	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p5_mum0p721092_plus_0p02	916000038	1907193038	Um5_L6_N018_b2p5	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p5plus_0p02
39	Um5	-5.0	18	0.500000000000	2.9	0.344827586207	-0.720134836299	32	0.500000000000	-0.740134836299	m0p740135	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot018_n0.500000_b2p9_mum0p740135_minus_0p02	916000039	1907193039	Um5_L6_N018_b2p9	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	muL6Um5N18b2p9minus_0p02
