idx	U_label	U	beta	T	L6_Ntot_target	L6_target_density	L8_reference_Ntot	L8_reference_density	mu_L8_reference	source_manifests	source_out_parents	reference_status
33	Um5	-5.0	2.9	0.344827586207	32	0.888888888889	56	0.875000000000	-0.161908472110	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot056_n0.875000_b2p9_T0p344828_mum0p161908	final_production
34	Um5	-5.0	3.3	0.303030303030	32	0.888888888889	56	0.875000000000	-0.158261989608	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot056_n0.875000_b3p3_T0p303030_mum0p158262	final_production
35	Um5	-5.0	4.0	0.250000000000	32	0.888888888889	56	0.875000000000	-0.155480747118	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot056_n0.875000_b4p0_T0p250000_mum0p155481	final_production
36	Um5	-5.0	5.0	0.200000000000	32	0.888888888889	56	0.875000000000	-0.155802354362	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot056_n0.875000_b5p0_T0p200000_mum0p155802	final_production
37	Um5	-5.0	6.7	0.149253731343	32	0.888888888889	56	0.875000000000	-0.153611474076	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_N56_b6p7_reseed_20260713.tsv;scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N56_b6p7_reseed_20260713/cnms/rep1_Ntot056_n0.875000_b6p7_T0p149254_mum0p153611_seed2086376701;/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N56_b6p7_reseed_20260713/cnms/rep2_Ntot056_n0.875000_b6p7_T0p149254_mum0p153611_seed2086376702;/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/cnms/Ntot056_n0.875000_b6p7_T0p149254_mum0p153611	final_production
38	Um5	-5.0	10.0	0.100000000000	32	0.888888888889	56	0.875000000000	-0.149735671866	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/cnms/Ntot056_n0.875000_b10p0_T0p100000_mum0p149736	final_production
39	Um5	-5.0	20.0	0.050000000000	32	0.888888888889	56	0.875000000000	-0.147709616209	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/cnms/Ntot056_n0.875000_b20p0_T0p050000_mum0p147710	final_production
40	Um3	-3.0	2.0	0.500000000000	12	0.333333333333	22	0.343750000000	-1.420448455508	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p0_T0p500000_mum1p420448	final_production
41	Um3	-3.0	2.2	0.454545454545	12	0.333333333333	22	0.343750000000	-1.395313150327	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p2_T0p454545_mum1p395313	final_production
42	Um3	-3.0	2.5	0.400000000000	12	0.333333333333	22	0.343750000000	-1.366618934393	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um3_three_density_beta20_20260712_manifests_gce_prod_L8_Um3_three_density_found29_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um3_three_density_beta20_20260712/ccsd/Ntot022_n0.343750_b2p5_T0p400000_mum1p366619	final_production
