idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
38	attractive	Um3	-3.0	2.5	0.400000000000	0.400000000000	25	12	6	6	0.333333333333	ccsd	ceL6Um3N12b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b2p5_T0.400000_Nup006_Ndn006_r32_w5000_m50000_seed1907190038	1907190038	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
39	attractive	Um3	-3.0	2.9	0.344827586207	0.344827586207	29	12	6	6	0.333333333333	ccsd	ceL6Um3N12b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b2p9_T0.344828_Nup006_Ndn006_r32_w5000_m50000_seed1907190039	1907190039	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
40	attractive	Um3	-3.0	3.3	0.303030303030	0.303030303030	33	12	6	6	0.333333333333	ccsd	ceL6Um3N12b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b3p3_T0.303030_Nup006_Ndn006_r32_w5000_m50000_seed1907190040	1907190040	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
41	attractive	Um3	-3.0	4.0	0.250000000000	0.250000000000	40	12	6	6	0.333333333333	ccsd	ceL6Um3N12b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b4p0_T0.250000_Nup006_Ndn006_r32_w5000_m50000_seed1907190041	1907190041	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
42	attractive	Um3	-3.0	5.0	0.200000000000	0.200000000000	50	12	6	6	0.333333333333	ccsd	ceL6Um3N12b5p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b5p0_T0.200000_Nup006_Ndn006_r32_w5000_m50000_seed1907190042	1907190042	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
43	attractive	Um3	-3.0	6.7	0.149253731343	0.149253731343	67	12	6	6	0.333333333333	ccsd	ceL6Um3N12b6p7	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b6p7_T0.149254_Nup006_Ndn006_r32_w5000_m50000_seed1907190043	1907190043	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
44	attractive	Um3	-3.0	10.0	0.100000000000	0.100000000000	100	12	6	6	0.333333333333	ccsd	ceL6Um3N12b10p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b10p0_T0.100000_Nup006_Ndn006_r32_w5000_m50000_seed1907190044	1907190044	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
45	attractive	Um3	-3.0	2.0	0.500000000000	0.500000000000	20	18	9	9	0.500000000000	ccsd	ceL6Um3N18b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b2p0_T0.500000_Nup009_Ndn009_r32_w5000_m50000_seed1907190045	1907190045	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
46	attractive	Um3	-3.0	2.2	0.454545454545	0.454545454545	22	18	9	9	0.500000000000	ccsd	ceL6Um3N18b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b2p2_T0.454545_Nup009_Ndn009_r32_w5000_m50000_seed1907190046	1907190046	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
47	attractive	Um3	-3.0	2.5	0.400000000000	0.400000000000	25	18	9	9	0.500000000000	ccsd	ceL6Um3N18b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b2p5_T0.400000_Nup009_Ndn009_r32_w5000_m50000_seed1907190047	1907190047	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
