panel	square_geometry	temperature_disk	temperature_square	delta_temperature	abs_delta_temperature
Disk GCE to Square GCE	square_obc	0.015853801721	0.045389228457	0.029535426736	0.029535426736
Disk GCE to Square GCE	square_obc	0.015902582053	0.045510958404	0.029608376351	0.029608376351
Disk GCE to Square GCE	square_obc	0.015951512477	0.045635317532	0.029683805055	0.029683805055
Disk GCE to Square GCE	square_obc	0.016000593454	0.045760016473	0.029759423019	0.029759423019
Disk GCE to Square GCE	square_obc	0.016049825448	0.045885056155	0.029835230707	0.029835230707
Disk GCE to Square GCE	square_obc	0.016099208923	0.046010437510	0.029911228587	0.029911228587
Disk GCE to Square GCE	square_obc	0.016148744345	0.046135255967	0.029986511622	0.029986511622
Disk GCE to Square GCE	square_obc	0.016198432183	0.046259037264	0.030060605081	0.030060605081
Disk GCE to Square GCE	square_obc	0.016248272904	0.046383150668	0.030134877764	0.030134877764
Disk GCE to Square GCE	square_obc	0.016298266979	0.046507597069	0.030209330090	0.030209330090
Disk GCE to Square GCE	square_obc	0.016348414880	0.046632377361	0.030283962481	0.030283962481
Disk GCE to Square GCE	square_obc	0.016398717080	0.046757250647	0.030358533567	0.030358533567
Disk GCE to Square GCE	square_obc	0.016449174055	0.046880385495	0.030431211440	0.030431211440
Disk GCE to Square GCE	square_obc	0.016499786280	0.047003844618	0.030504058338	0.030504058338
Disk GCE to Square GCE	square_obc	0.016550554233	0.047127628869	0.030577074636	0.030577074636
Disk GCE to Square GCE	square_obc	0.016601478393	0.047251739105	0.030650260712	0.030650260712
Disk GCE to Square GCE	square_obc	0.016652559241	0.047376176184	0.030723616943	0.030723616943
Disk GCE to Square GCE	square_obc	0.016703797259	0.047499240978	0.030795443719	0.030795443719
Disk GCE to Square GCE	square_obc	0.016755192930	0.047622128105	0.030866935175	0.030866935175
Disk GCE to Square GCE	square_obc	0.016806746740	0.047751542134	0.030944795394	0.030944795394
Disk GCE to Square GCE	square_obc	0.016858459176	0.047881307849	0.031022848673	0.031022848673
Disk GCE to Square GCE	square_obc	0.016910330724	0.048011426204	0.031101095480	0.031101095480
Disk GCE to Square GCE	square_obc	0.016962361875	0.048141263517	0.031178901642	0.031178901642
Disk GCE to Square GCE	square_obc	0.017014553120	0.048269578888	0.031255025768	0.031255025768
Disk GCE to Square GCE	square_obc	0.017066904952	0.048398236270	0.031331331318	0.031331331318
Disk GCE to Square GCE	square_obc	0.017119417864	0.048527236574	0.031407818710	0.031407818710
Disk GCE to Square GCE	square_obc	0.017172092353	0.048656580715	0.031484488362	0.031484488362
Disk GCE to Square GCE	square_obc	0.017224928914	0.048786269608	0.031561340694	0.031561340694
Disk GCE to Square GCE	square_obc	0.017277928048	0.048914550291	0.031636622243	0.031636622243
Disk GCE to Square GCE	square_obc	0.017331090254	0.049042375596	0.031711285342	0.031711285342
Disk GCE to Square GCE	square_obc	0.017384416034	0.049170534938	0.031786118904	0.031786118904
Disk GCE to Square GCE	square_obc	0.017437905892	0.049299029192	0.031861123300	0.031861123300
Disk GCE to Square GCE	square_obc	0.017491560332	0.049427859231	0.031936298899	0.031936298899
Disk GCE to Square GCE	square_obc	0.017545379860	0.049556953174	0.032011573314	0.032011573314
Disk GCE to Square GCE	square_obc	0.017599364984	0.049683870858	0.032084505874	0.032084505874
Disk GCE to Square GCE	square_obc	0.017653516215	0.049811113584	0.032157597369	0.032157597369
Disk GCE to Square GCE	square_obc	0.017707834063	0.049938682184	0.032230848121	0.032230848121
Disk GCE to Square GCE	square_obc	0.017762319041	0.050070248381	0.032307929340	0.032307929340
Disk GCE to Square GCE	square_obc	0.017816971662	0.050205555565	0.032388583903	0.032388583903
Disk GCE to Square GCE	square_obc	0.017871792444	0.050340489793	0.032468697349	0.032468697349
Disk GCE to Square GCE	square_obc	0.017926781903	0.050473752814	0.032546970911	0.032546970911
Disk GCE to Square GCE	square_obc	0.017981940558	0.050607368613	0.032625428055	0.032625428055
Disk GCE to Square GCE	square_obc	0.018037268930	0.050741338124	0.032704069194	0.032704069194
Disk GCE to Square GCE	square_obc	0.018092767541	0.050875662284	0.032782894743	0.032782894743
Disk GCE to Square GCE	square_obc	0.018148436915	0.051010342031	0.032861905116	0.032861905116
Disk GCE to Square GCE	square_obc	0.018204277577	0.051144247661	0.032939970084	0.032939970084
