panel	square_geometry	temperature_disk	temperature_square
Disk GCE to Square GCE	square_obc	0.021555381011	0.058816946306
Disk GCE to Square GCE	square_obc	0.021621704450	0.058968895058
Disk GCE to Square GCE	square_obc	0.021688231958	0.059121698388
Disk GCE to Square GCE	square_obc	0.021754964165	0.059273955899
Disk GCE to Square GCE	square_obc	0.021821901698	0.059423565780
Disk GCE to Square GCE	square_obc	0.021889045191	0.059573553283
Disk GCE to Square GCE	square_obc	0.021956395276	0.059723919360
Disk GCE to Square GCE	square_obc	0.022023952590	0.059874664967
Disk GCE to Square GCE	square_obc	0.022091717771	0.060025791062
Disk GCE to Square GCE	square_obc	0.022159691456	0.060177298606
Disk GCE to Square GCE	square_obc	0.022227874290	0.060328853303
Disk GCE to Square GCE	square_obc	0.022296266913	0.060477065687
Disk GCE to Square GCE	square_obc	0.022364869974	0.060625642190
Disk GCE to Square GCE	square_obc	0.022433684117	0.060774583707
Disk GCE to Square GCE	square_obc	0.022502709995	0.060923891135
Disk GCE to Square GCE	square_obc	0.022571948256	0.061073565372
Disk GCE to Square GCE	square_obc	0.022641399557	0.061223607321
Disk GCE to Square GCE	square_obc	0.022711064550	0.061374017883
Disk GCE to Square GCE	square_obc	0.022780943895	0.061521622553
Disk GCE to Square GCE	square_obc	0.022851038251	0.061668619517
Disk GCE to Square GCE	square_obc	0.022921348279	0.061815967708
Disk GCE to Square GCE	square_obc	0.022991874643	0.061963667966
Disk GCE to Square GCE	square_obc	0.023062618008	0.062111721133
Disk GCE to Square GCE	square_obc	0.023133579043	0.062260128051
Disk GCE to Square GCE	square_obc	0.023204758417	0.062408889566
Disk GCE to Square GCE	square_obc	0.023276156801	0.062561177195
Disk GCE to Square GCE	square_obc	0.023347774870	0.062717617359
Disk GCE to Square GCE	square_obc	0.023419613300	0.062874448716
Disk GCE to Square GCE	square_obc	0.023491672768	0.063031672246
Disk GCE to Square GCE	square_obc	0.023563953956	0.063189288927
Disk GCE to Square GCE	square_obc	0.023636457544	0.063347299744
Disk GCE to Square GCE	square_obc	0.023709184217	0.063505705682
Disk GCE to Square GCE	square_obc	0.023782134662	0.063664507729
Disk GCE to Square GCE	square_obc	0.023855309567	0.063820809903
Disk GCE to Square GCE	square_obc	0.023928709623	0.063975755976
Disk GCE to Square GCE	square_obc	0.024002335522	0.064131078231
Disk GCE to Square GCE	square_obc	0.024076187960	0.064286777582
Disk GCE to Square GCE	square_obc	0.024150267633	0.064442854945
Disk GCE to Square GCE	square_obc	0.024224575241	0.064599311237
